B_Req,R_Priority,FP,Complexity,Time,Cost
962,173,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
963,144,4,-0.023580719,1.1751897618260156,0.34602704870759515
964,128,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
965,99,3,-1.244619821,0.3847333236909606,-0.992918279
966,79,4,1.1974583830783379,1.1751897618260156,1.563250073489697
967,62,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
968,92,3,-1.244619821,0.3847333236909606,-0.992918279
969,28,2,-0.023580719,-0.800951334,-0.56689022
970,169,2,-0.023580719,-0.800951334,-0.56689022
971,124,3,-0.023580719,0.3847333236909606,-0.019139859
972,151,3,-1.244619821,0.3847333236909606,-0.992918279
973,112,2,1.1974583830783379,-0.800951334,0.041721293
974,105,4,-0.023580719,1.1751897618260156,0.34602704870759515
975,164,4,-1.244619821,1.1751897618260156,-0.871195976
976,73,2,-1.244619821,-0.800951334,-1.175501732
977,121,4,1.1974583830783379,1.1751897618260156,1.563250073489697
978,119,4,1.1974583830783379,1.1751897618260156,1.563250073489697
979,163,2,-0.023580719,-0.800951334,-0.56689022
980,183,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
981,132,2,-1.244619821,-0.800951334,-1.175501732
982,141,3,-1.244619821,0.3847333236909606,-0.992918279
983,13,4,1.1974583830783379,1.1751897618260156,1.563250073489697
984,110,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
985,20,3,-1.244619821,0.3847333236909606,-0.992918279
986,155,4,-0.023580719,1.1751897618260156,0.34602704870759515
987,98,3,-0.023580719,0.3847333236909606,-0.019139859
988,159,4,-1.244619821,1.1751897618260156,-0.871195976
989,181,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
990,112,4,1.1974583830783379,1.1751897618260156,1.563250073489697
991,30,3,-1.244619821,0.3847333236909606,-0.992918279
992,127,2,1.1974583830783379,-0.800951334,0.041721293
993,101,3,-0.023580719,0.3847333236909606,-0.019139859
994,141,2,1.1974583830783379,-0.800951334,0.041721293
995,119,4,1.1974583830783379,1.1751897618260156,1.563250073489697
996,138,4,1.1974583830783379,1.1751897618260156,1.563250073489697
997,55,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
998,32,4,1.1974583830783379,1.1751897618260156,1.563250073489697
999,56,3,-0.023580719,0.3847333236909606,-0.019139859
1000,93,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1001,224,2,-1.244619821,-0.800951334,-1.175501732
1002,96,4,1.1974583830783379,1.1751897618260156,1.563250073489697
1003,159,3,-0.023580719,0.3847333236909606,-0.019139859
1004,47,3,-1.244619821,0.3847333236909606,-0.992918279
1005,84,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1006,61,4,-1.244619821,1.1751897618260156,-0.871195976
1007,61,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
1008,129,2,-0.023580719,-0.800951334,-0.56689022
1009,70,3,-0.023580719,0.3847333236909606,-0.019139859
